event_id,origin_id,stage,parent_origin_id,time,lat,lon,depth,mag,magnitude_type,rms,gap,n_picks,erh,erz,method
eslv2026onjo2h2g,ohdd2026fvbxy7am,hypodd,ohyp2026ai543rzh,2024-01-16T03:01:40.530000Z,13.835502,-89.771826,3.136,0.7439,MLc,0.208,262,7,0.0585,0.0462,
eslv2026lvto6rf4,ohdd2026g5xy3a2m,hypodd,ohyp2026bqhaxdf5,2024-01-16T03:16:27.250000Z,13.839661,-89.758032,3.415,0.7732,MLc,0.093,268,6,0.0372,0.0625,
eslv2026zsezlhc5,ohdd2026btjclqeb,hypodd,ohyp2026ocdvbqzo,2024-01-16T03:44:19.879999Z,13.856538,-89.729663,8.291,0.9992,MLc,0.174,264,6,0.0326,0.0305,
eslv20265kadafdb,ohdd2026ylmwcne4,hypodd,ohyp2026ppewmrc3,2024-01-16T05:17:00.320000Z,13.834114,-89.77452,0.604,0.2867,MLc,0.2,255,6,0.0371,0.0589,
eslv2026pksnbsly,ohdd2026ofwf56o3,hypodd,ohyp2026op76tkas,2024-01-16T05:58:31.750000Z,13.890529,-89.740438,6.646,0.3769,MLc,0.171,229,7,0.0279,0.0292,
eslv20263pojjnlw,ohdd2026bsuba6xf,hypodd,ohyp2026exbeawls,2024-01-16T08:18:26.510000Z,13.864134,-89.763957,5.717,0.1885,MLc,0.19,206,6,0.0306,0.032,
eslv2026nfu6iyjq,ohdd2026citfou6f,hypodd,ohyp2026ginguqub,2024-01-16T08:32:18.809999Z,13.930803,-89.725057,3.64,-0.0216,MLc,0.187,180,6,0.04,0.0395,
eslv2026t5ombqg4,ohdd2026xbmeqv2y,hypodd,ohyp2026c3ujx3uu,2024-01-18T14:07:40.859999Z,13.90982,-89.381673,11.246,1.6921,MLc,0.332,285,6,0.7992,0.9591,
eslv20263tgo5qdh,ohdd2026qlewa2gw,hypodd,ohyp2026ilbzttq2,2024-01-19T02:19:40.450000Z,13.885766,-89.750822,5.927,1.5658,MLc,0.129,164,11,0.029,0.0269,
eslv2026sg6sgzjk,ohdd2026z32d7yjm,hypodd,ohyp2026vvrvuf2y,2024-01-19T02:20:07.809999Z,13.863411,-89.771094,9.312,1.243,MLc,0.126,179,9,0.0431,0.0407,
eslv2026nylccqlt,ohdd2026nih2gyxc,hypodd,ohyp202673rftk2j,2024-01-19T02:22:58.850000Z,13.890035,-89.750309,5.624,1.2122,MLc,0.144,160,8,0.0272,0.0299,
eslv2026bixmejtf,ohdd2026p4yf7f7o,hypodd,ohyp2026npb6pre7,2024-01-19T02:25:00.740000Z,13.857509,-89.760588,4.685,1.4703,MLc,0.116,203,6,0.0283,0.0307,
eslv2026tjqt6zmr,ohdd2026jczaynlg,hypodd,ohyp2026nhdyaagt,2024-01-19T02:26:43.250000Z,13.915446,-89.714526,4.108,1.6584,MLc,0.081,130,14,0.004,0.0085,
eslv2026tpmpd5ip,ohdd2026cv3niijr,hypodd,ohyp20262zx6rhca,2024-01-19T02:27:00.460000Z,13.879917,-89.774406,5.663,1.9155,MLc,0.237,214,12,0.0365,0.036,
eslv2026kdba7xxa,ohdd2026jk7wgvu6,hypodd,ohyp2026b7ociwi6,2024-01-19T02:28:50.380000Z,13.881559,-89.768197,5.013,1.167,MLc,0.247,224,13,0.0467,0.0383,
eslv2026kldmcfro,ohdd2026ymjfutx3,hypodd,ohyp20265nsvw3rb,2024-01-19T02:31:30.399999Z,13.887841,-89.751253,5.647,1.4704,MLc,0.156,167,12,0.0249,0.0176,
